Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis\davisan02,38:04,11,21,.524,2,4,.500,10,10,1.000,3,6,9,5,0,3,1,1,34,+23
LeBron James\jamesle01,36:24,9,17,.529,2,4,.500,5,6,.833,1,12,13,9,1,0,2,3,25,+10
Kentavious Caldwell-Pope\caldwke01,30:26,3,10,.300,2,6,.333,5,5,1.000,0,2,2,0,2,1,1,1,13,+2
Danny Green\greenda02,29:32,4,9,.444,3,8,.375,0,0,,0,4,4,1,2,3,2,1,11,+21
Dwight Howard\howardw01,14:55,0,0,,0,0,,2,2,1.000,1,7,8,2,0,0,1,3,2,-2
Rajon Rondo\rondora01,24:51,2,7,.286,1,5,.200,2,2,1.000,1,2,3,4,0,0,1,1,7,+11
Kyle Kuzma\kuzmaky01,22:04,1,7,.143,1,4,.250,0,0,,2,6,8,2,1,0,1,2,3,+11
Alex Caruso\carusal01,21:58,4,6,.667,1,3,.333,1,2,.500,1,3,4,2,1,0,1,3,10,+12
Markieff Morris\morrima02,17:37,3,6,.500,2,3,.667,0,0,,0,3,3,1,0,0,2,3,8,-1
Quinn Cook\cookqu01,1:23,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+1
J.R. Smith\smithjr01,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Jared Dudley\dudleja01,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+1